AAB;167;167;161;161;101;16861
ABIDA;87.8;88;87.8;88;963;84563
ABIEVO;93.6;94.8;93.6;94.8;3598;339275
ABIGHY;93.3;93.3;92.4;92.4;1670;155271
ABIPPS;162.1;162.1;162.1;162.1;184;29826
ABIRUS;104.8;104.8;104.8;104.8;115;12052
ACAECO;1036.6;1036.6;1036.6;1036.6;607;629216
ADMCAP-B;1.63;1.71;1.63;1.67;136276;225450
AGF-B;0.242;0.247;0.241;0.241;28300;6877
AGILC;37.01;37.01;36.5;36.605;2393;88002
ALIEUA;96.75;96.75;96.75;96.75;194;18769
ALIGLO;98.85;98.85;98.85;98.85;281;27776
ALIKOB;101.5;101.5;101.5;101.5;261;26491
ALILO;99.8;99.8;99.8;99.8;1374;137125
ALIMIX;130.5;130.5;130.5;130.5;96;12528
ALIVOB;101;101;101;101;233;23533
ALK-B;1072;1078;1066;1068;9991;10704804
ALMB;64;64.7;63.1;63.9;468542;29994431
AMBU-B;210;212.2;197.2;210.6;1708261;351442325
AMIGLO;116;116.2;116;116.2;11148;1294428
AOJ-P;287;287;281;281;1707;488229
ARKIL-B;1200;1220;1200;1210;447;540720
ATHENA;8.82;9.26;8.82;9.26;4400;40306
ATLA-DKK;7.9;7.9;7.45;7.5;7332;55669
BAIAAA;103.2;103.3;103.2;103.3;1286;132841
BAIBGAAKA;605.2;608.7;605.1;608.1;3927;2378708
BAIBGAKTA;335.3;338;335.2;337.8;2565;863572
BAIDKAA;89.45;90;89.45;89.7;5097;457331
BAIDKAAKA;123.9;124.2;123.8;124.2;11128;1379328
BAIEMAA;133.4;133.7;133.4;133.6;3881;518384
BAIEMOAKA;163.6;164.4;163.4;163.8;12384;2028975
BAIEMOBA;54.05;54.3;54.05;54.15;98609;5336759
BAIEMOLVA;95.65;96.35;95.65;95.9;34056;3270586
BAIEMVKL;96.85;96.85;96.85;96.85;3300;319605
BAIESCA;130.6;131;130;130.5;2361435;307932290
BAIGFA;150;150.5;149.4;150.5;12843;1926708
BAIGIOA;111.1;111.4;111.1;111.2;5113;569135
BAIHUAA;135.8;136.3;135.3;136.1;11614;1576405
BAIKDKOAKA;124.6;124.8;124.6;124.6;3157;393554
BAIKDOBA;90.9;91.15;90.9;90.9;19383;1764167
BAILDOBA;98.45;98.7;98.45;98.7;48968;4828637
BAINEMAA;115.6;117.4;115.6;117.4;7886;915364
BAIUOBA;107.5;107.7;107.5;107.7;23844;2567084
BAIUSCA;134.7;134.7;134.2;134.3;624;83849
BAIVOHYA;98.7;99.05;98.7;98.75;25362;2508088
BAIVOIGA;77.75;77.85;77.75;77.75;32862;2556305
BAIVOIGAKA;141.5;142;141.5;141.5;10167;1439525
BAIVOIGEA;110;110.1;110;110.1;1085;119401
BAKO10AKKKL;124.5;124.6;124.5;124.6;3156;393077
BAKO10KL;100.8;100.8;100.8;100.8;23915;2410632
BAKO30AKL;100.4;100.4;100.4;100.4;683;68573
BAKO30KL;100.7;100.8;100.3;100.8;15102;1521834
BAKO55AKKKL;160.2;160.4;159.5;159.9;5657;904091
BAKO55KL;100.3;100.4;100;100;7242;725765
BAKO75AKKKL;169.6;170.4;169.6;170.1;16499;2805149
BAKO75KL;99.55;99.7;99.55;99.7;2067;205959
BAVA;196;199.45;195.05;198.9;126495;25109927
BDIDSCAKLA;242;242;235.1;235.1;240;56756
BEAR-APM-X2H;5.21;5.21;5.21;5.21;23232;121038
BEAR-COLO-X2-ND1;90.75;90.75;90.75;90.75;1000;90750
BEAR-COLOP-X4-SE;2.9;2.9;2.9;2.9;100000;290000
BEAR-DAX-10-N;0.69;0.69;0.69;0.69;3800;2622
BEAR-DAX-15-N-II;2;2.03;1.83;1.95;1172417;2251525
BEAR-DAX-X1-ND2;102.3;102.3;102.3;102.3;4008;410018
BEAR-DONG-X4-SE;1.39;1.41;1.38;1.41;110000;153725
BEAR-NASDAQ-15-N;0.23;0.23;0.23;0.23;384000;88320
BEAR-NKT-X2-ND1;81.53;81.53;81.53;81.53;200;16306
BEAR-OLIE-5-N-II;4.42;4.42;4.12;4.29;19000;81204
BEAR-OLIE-X10-ND;127.05;127.05;127.05;127.05;51;6479
BEAR-OLIE-X12-ND;131.05;131.05;104.25;104.25;170;19574
BEAR-SP500-10-N;13.24;13.24;13.24;13.24;2200;29128
BEAR-VWS-X4-SE;2.88;2.88;2.88;2.88;8000;23040
BEARCOLOBX1NORDN;37.76;37.76;37.76;37.76;30;1132
BEARDANSKX2NORDN;58.75;58.75;58.75;58.75;450;26437
BEARDAXX10NORDNE;21;21.75;21;21.75;20000;427500
BEARDAXX15NORDNE;6.56;6.96;6.56;6.82;12638;84920
BEARDAXX3NORDNET;83.9;83.9;83.9;83.9;130;10907
BEARDAXX5NORDNET;64.22;64.22;64.22;64.22;2950;189449
BEARDSVX3NORDNET;14.55;14.55;14.55;14.55;10000;145500
BEARGENX2NORDNET;54.24;54.24;53.02;53.5;2000;107018
BEARGNX1NORDNETD;29.91;29.91;29.91;29.91;40;1196
BEARNQ100X15NORD;0.1;0.1;0.1;0.1;30000;3000
BEAROLIEX10NORDN;1.99;2.24;1.99;2.24;6000;12540
BEAROLIEX12NORDN;0.71;0.73;0.56;0.67;766700;505079
BEAROLIEX3NORDNE;20.22;20.72;20.22;20.72;250;5128
