BEARNQ100X5NORDN;20.32;21.4;20.32;21.4;3000;62220
BEAROLIEX10NORDN;2.32;2.6;2.32;2.6;2532;6294
BEAROLIEX12NORDN;0.73;0.8;0.73;0.8;206115;159919
BEAROLIEX3NORDNE;21.92;21.92;21.92;21.92;1000;21920
BEAROLIEX5NORDNE;5.89;5.89;5.89;5.89;2000;11780
BEAROMXC25X3NORD;89.41;91.24;89.41;91.24;480;43356
BEAROMXS30X15NOR;4.52;4.98;4.52;4.97;44000;208155
BEARSOELVX8NORDN;48.68;48.68;48.68;48.68;30;1460
BIAEJD;198.5;198.5;198.5;198.5;25;4962
BIF;1.195;1.21;1.17;1.19;427911;510570
BIOPOR;3.12;3.13;3.065;3.1;65619;203456
BLKBSCKL;102.6;102.6;102.6;102.6;50;5130
BLKDA;1654.1;1654.1;1650;1650;42;69353
BLKGA;2172.8;2172.8;2158.4;2158.4;435;942544
BLVIS-A;0.407;0.407;0.38;0.399;36500;14205
BNORDIK-CSE;108;108.5;108;108.5;1105;119353
BO;136;137.8;135;135.2;55602;7571037
BSKFDAKL;27283;27283;27283;27283;1;27283
BSKFGA;26046;26046;26046;26046;2;52092
BULL-APM-X2H;58.51;58.51;58.51;58.51;1000;58510
BULL-BANKER-2-N;18.01;18.03;18.01;18.03;20550;370505
BULL-BANKER-N;23.36;23.36;23.36;23.36;4450;103952
BULL-BAVA-X3-ND1;101.85;105.85;101.85;102.25;2450;252202
BULL-DANSKB-2-N;31.19;31.19;31.19;31.19;119;3711
BULL-DAX-15-N;173.7;176.5;126;134;123360;18347809
BULL-DAX-2-N;27.86;27.86;27.86;27.86;250;6965
BULL-DAX-N;27.98;27.98;27.98;27.98;2250;62955
BULL-ESTOX-15-SE;11.52;11.52;11.52;11.52;23;264
BULL-EURSTX-15-N;274.7;274.7;235;235;550;139440
BULL-EURSTX-2-N;27.38;27.38;27.38;27.38;21300;583194
BULL-GEN-X2-DB;15.99;15.99;14.99;14.99;6700;104341
BULL-GEN-X2-ND1;105;105;105;105;260;27300
BULL-GENMAB-2-N;38.82;38.82;36.71;36.71;3800;146296
BULL-GULD-2-N;13.17;13.17;13.17;13.17;3700;48729
BULL-HVEDE-X5-SE;8.55;8.55;8.55;8.55;5000;42750
BULL-NASDAQ-2-N;63.92;63.92;63.92;63.92;4300;274856
BULL-NASDAQ-N;41.6;41.6;41.6;41.6;2500;104000
BULL-NKT-X3-ND;127.65;127.65;127.65;127.65;907;115778
BULL-NOVO-X2-DB;23.87;24.4;23.79;23.79;13533;327044
BULL-NOVO-X2-ND1;98.5;98.5;98.37;98.37;2800;275475
BULL-NOVO-X4-SE;4.95;4.97;4.95;4.97;43836;217797
BULL-NOVONO-2-N;17.37;17.37;17.37;17.37;25000;434250
BULL-NOVONO-3-N;28.54;29.16;28.54;28.88;40015;1152494
BULL-NQ100X1-ND2;103.45;103.45;102.2;102.2;7450;763327
BULL-OLIE-2-N;129.75;129.75;129.75;129.75;160;20760
BULL-OLIE-5-N-II;402.5;402.5;380.55;380.55;201;78685
BULL-OLIE-X2-ND1;94.41;94.41;94.41;94.41;100;9441
BULL-OLIE-X2H;11.79;11.8;11.79;11.8;16163;190638
BULL-OMXC25-ND1;34.53;34.53;34.53;34.53;1895;65434
BULL-OMXS30-15-N;369.2;369.2;279.45;279.45;1570;454590
BULL-PAND-X2-DB;22;22;22;22;1000;22000
BULL-PDOR-X2-ND1;103.6;103.6;103.6;103.6;480;49728
BULL-SP500-2-N;43.31;43.31;43.31;43.31;2000;86620
BULL-VESTAS-2-N;36.12;36.12;36.12;36.12;4200;151704
BULL-VWS-X2-DB;54.85;54.85;54.19;54.19;2200;119944
BULL-VWS-X2-ND1;99.83;99.83;98.63;98.63;60;5972
BULL-VWS-X3-ND1;96.74;96.74;96.74;96.74;1550;149947
BULL-VWS-X4-SE;3.07;3.07;3.04;3.04;54950;168548
BULLBAVAX3NORDNE;100.1;100.1;100.1;100.1;300;30030
BULLCHRX2NORDNET;94.01;94.25;93.68;93.68;325;30506
BULLDAXX10NORDNE;30.5;30.5;27.58;27.58;577;15992
BULLDAXX15NORDNE;7.38;7.38;5.67;5.67;105710;693106
BULLDAXX2NORDNET;93.6;93.6;93.6;93.6;15;1404
BULLDAXX5NORDNET;74.48;74.48;70.02;70.02;720;52086
BULLGENX2NORDNET;21.5;21.63;19.9;19.9;16500;344656
BULLGNX3NORDNETD;134.15;134.15;134.15;134.15;110;14756
BULLGULDX10NORDN;37.12;37.72;37.12;37.72;230;8608
BULLGULDX12NORDN;26.19;27.11;25.75;27.11;7358;193123
BULLNKTX3NORDNET;12.1;12.1;12.1;12.1;250;3025
BULLNOVOBX2NORDN;58.25;58.25;57.62;57.62;2500;145325
BULLNOVOBX3NORDN;55.97;58.77;55.97;56.38;8915;513984
BULLNQ100X15NORD;50.61;50.61;50.61;50.61;500;25305
BULLNQ100X3NORDN;171.75;171.75;169;169;1200;204450
BULLNQ100X5NORDN;198.3;198.3;198.3;198.3;15;2974
BULLOLIEX12NORDN;96;96.97;80;92.4;5593;507671
BULLOLIEX5NORDNE;336.6;336.6;323;323;19;6341
BULLOLIEX8NORDNE;160.4;160.4;160.4;160.4;590;94636
BULLOMXC25X3NORD;107.6;107.6;104.9;105.1;320;33842
BULLOMXS30X15NOR;7.23;7.23;7.23;7.23;3000;21690
BULLPDORAX3NORDN;12.77;12.8;12.36;12.45;3750;47162
BULLSOELVX12NORD;2.54;2.54;2.54;2.54;4000;10160
BULLSOELVX8NORDN;15.85;16.2;15.85;16.2;210;3366
BULLSP500X12NORD;105.25;105.25;105.25;105.25;50;5262
BULLSP500X15NORD;55.75;56.22;54.78;55.48;14570;816439
BULLSP500X2NORDN;122.55;122.55;122.55;122.55;11;1348
BULLSP500X5NORDN;152.3;152.3;152.3;152.3;3;456
BULLVWSX3NORDNET;9.45;9.87;9.45;9.55;1092;10495
CARL-A;736;742;724;724;368;269514
CARL-B;735.2;751.6;735.2;742.2;356558;266030978
CBRAIN;39.3;39.3;38.1;38.3;4273;166482
CEMAT;0.459;0.459;0.434;0.434;52725;22925
CHEMM;65;66;61.2;64.2;97553;6213542
CHR;632;634;620.8;623;344282;215778696
COIFOR;100.8;100.8;100.8;100.8;400;40320
COIMOD;103.4;103.4;103.2;103.2;2865;295976
COIMRA;102.1;102.1;102;102;11317;1155446
COLO-B;634;635.2;627;628.4;293435;184938020
COLUM;15.28;15.32;15.16;15.28;98970;1507471
CONFRZ;7.25;7.3;6.81;7.3;22620;157138
CWIASKL;183;183.6;181.9;182.7;55518;10150850
CWIDKKL;251.4;251.4;249.5;249.5;1906;478017
CWIEMMKL;266.5;266.5;264.2;264.2;438;115770
CWIGAAKKKL;117;117;116.8;116.8;2000;233680
CWIGAEKL;119.7;119.7;118.7;118.7;3216;382159
CWIGAKL;714.5;714.6;708.3;708.3;12635;9023153
CX0001GI;3521.39081;3575.32061;3499.3985;3507.95879;0;0
CX0001PI;3295.0163;3345.4792;3274.43778;3282.44776;0;0
CX0500GI;3521.39081;3575.32061;3499.3985;3507.95879;0;0
CX0500PI;3295.0163;3345.4792;3274.43778;3282.44776;0;0
CX1000GI;15082.20742;15192.69978;14383.34323;14383.34323;0;0
CX1000PI;1305.51373;1315.07794;1245.02015;1245.02015;0;0
CX1300GI;18433.99185;18569.03941;17579.81604;17579.81604;0;0
CX1300PI;1490.87431;1501.79647;1421.79167;1421.79167;0;0
CX2000GI;1989.61606;1990.71422;1970.47707;1970.47707;0;0
CX2000PI;1592.33704;1593.21593;1577.01966;1577.01966;0;0
CX2300GI;2122.87968;2135.62512;2095.52808;2098.29197;0;0
CX2300PI;1886.48099;1897.80712;1862.17519;1864.63131;0;0
CX2700GI;1966.14061;1966.9375;1946.86658;1947.9077;0;0
CX2700PI;1557.04507;1557.67615;1541.78139;1542.60589;0;0
CX3000GI;2259.31929;2285.61442;2259.31929;2261.33242;0;0
CX3000PI;1954.22686;1976.97117;1954.22686;1955.96814;0;0
CX3300GI;770.53824;770.53824;708.2153;753.54108;0;0
CX3300PI;770.53824;770.53824;708.2153;753.54108;0;0
CX3500GI;1860.43552;1891.26557;1860.43552;1870.27823;0;0
CX3500PI;1646.34383;1673.62607;1646.34383;1655.05388;0;0
CX3700GI;3397.7917;3410.45694;3361.73482;3372.54588;0;0
CX3700PI;2744.21168;2754.44071;2715.09049;2723.822;0;0
CX4000GI;3278.80424;3307.50706;3247.09289;3258.96365;0;0
CX4000PI;2904.82497;2930.25396;2876.7306;2887.24739;0;0
CX4500GI;3278.80424;3307.50706;3247.09289;3258.96365;0;0
CX4500PI;2904.82497;2930.25396;2876.7306;2887.24739;0;0
CX5000GI;963.52127;968.78596;960.72746;965.40486;0;0
CX5000PI;848.21621;852.85087;845.75674;849.87439;0;0
CX5300GI;634.5572;646.87605;634.5572;639.42773;0;0
CX5300PI;538.09035;548.53646;538.09035;542.22045;0;0
CX5500GI;1211.82528;1227.5446;1178.59776;1227.5446;0;0
CX5500PI;1000.69166;1013.67224;973.25329;1013.67224;0;0
CX5700GI;1578.07275;1583.14615;1570.52896;1573.06981;0;0
CX5700PI;1507.67751;1512.5246;1500.47024;1502.89775;0;0
CX7000GI;535.88794;537.29766;529.62797;533.68247;0;0
CX7000PI;511.47672;512.82222;505.50191;509.37172;0;0
CX7500GI;535.88794;537.29766;529.62797;533.68247;0;0
CX7500PI;511.47672;512.82222;505.50191;509.37172;0;0
CX8000GI;2527.45206;2531.52154;2498.44364;2498.44364;0;0
CX8000PI;2086.68493;2090.04472;2062.73534;2062.73534;0;0
CX8300GI;2313.70858;2318.44597;2284.38447;2284.38447;0;0
CX8300PI;1933.68049;1937.63976;1909.17288;1909.17288;0;0
CX8500GI;3698.79066;3708.2059;3677.54871;3682.27092;0;0
CX8500PI;2856.31342;2863.58415;2839.90977;2843.5564;0;0
CX8600GI;2042.60559;2042.64433;1978.92173;1983.1661;0;0
CX8600PI;1922.82641;1922.86288;1862.87699;1866.87247;0;0
CX8700GI;2225.86179;2225.86179;2202.47722;2202.47722;0;0
CX8700PI;1986.51859;1986.51859;1965.64852;1965.64852;0;0
CX9000GI;5792.03883;5828.66433;5770.05746;5796.76608;0;0
CX9000PI;5070.27651;5102.33801;5051.0343;5074.41469;0;0
CX9500GI;5792.03883;5828.66433;5770.05746;5796.76608;0;0
CX9500PI;5070.27651;5102.33801;5051.0343;5074.41469;0;0
DAB;4.45;4.45;4.42;4.45;13212;58789
DANSKE;208.3;209.5;205.7;205.7;2378452;492414329
DANT;294;294;294;294;43;12642
DFDS;424;424;412.6;413.6;96277;40017311
DJUR;234;235;232;235;2040;478085
DKIDK;190;190;188.3;188.3;3711;701163
DKIDKA;734;734;729.7;729.7;818;596196
DKIDKF;301.8;301.8;300.2;300.5;765;229892
DKIDKISC;240.1;240.2;238.6;238.6;4596;1100278
DKIDKIX;167.2;167.2;165.9;165.9;4574;761943
DKIDKLOBL;100.8;101;100.8;101;7743;780694
DKIDMOBL;95.7;95.8;95.7;95.7;32398;3100746
DKIEAUHU;132.5;132.5;132.5;132.5;4494;595036
DKIEEU;332.3;332.3;332.3;332.3;16;5316
DKIEHY;101.7;101.7;100.9;100.9;2337;236069
DKIEIGO;103.5;103.5;103.5;103.5;245;25357
DKIEU;111.4;111.4;110.7;111;1285;142703
DKIEU2KL;92.75;92.75;92.35;92.35;1407;130001
DKIEUHUAKLDKK;141.2;141.2;140.5;140.5;583;82102
DKIEUHYADKKH;131.3;131.3;131.3;131.3;1530;200889
DKIEUIX;97.9;97.9;97.15;97.15;8221;800449
DKIEUIXBNP;403.2;403.3;403.2;403.3;652;262938
DKIEUSC;205.6;207.2;205.2;207.2;4061;838626
DKIFJE;83.3;83.45;83;83;9273;770561
DKIFJIX;149.2;149.4;148.5;148.5;11358;1694900
DKIFO;93.25;93.45;93.25;93.45;30572;2856680
DKIGHU;110.1;110.1;110.1;110.1;8510;936611
DKIGHYB;92.4;93.15;92.4;93.15;3607;335686
DKIGI;102.3;102.3;100.9;100.9;27988;2851125
DKIGIADKKH;255.9;255.9;254.4;255;6019;1534434
DKIGLIADKKH;152.2;152.2;152.2;152.2;300;45660
DKIGLIO;100.8;100.8;100.8;100.8;2760;278208
DKIGLOP;18.47;18.47;18.41;18.41;5553;102238
DKIGLOSP;84.3;84.3;84.05;84.05;7540;635370
DKIGLOSP2;165.4;165.4;163.4;163.4;3162;520781
DKIGLOVO;92.4;92.7;92.4;92.7;2824;261184
DKIGMI;96.05;96.05;96.05;96.05;1502;144267
DKIGOM;98.7;99.35;98.7;99.35;10968;1085615
DKIGSPADKK;206.1;206.1;204.9;204.9;2294;472077
DKIJAP;135.9;135.9;135.4;135.6;2612;354896
DKIKI;184;184;182.1;182.1;2634;481612
DKIKO;99.35;99.55;99.35;99.55;5852;581524
DKIKTR;118.9;119.6;118.4;118.4;607;71957
DKIMA;155.8;155.8;155.2;155.2;4616;718764
DKIMDA;128.3;128.3;128.3;128.3;2255;288912
DKIMOA;119;119;119;119;645;76755
DKIMOAK;161;161;160.3;160.3;3648;587322
DKIMOB;103.8;104.2;103.8;104.2;36055;3747096
DKIMOPA;171.8;171.8;170.9;170.9;2243;385082
DKINMAKK;278.1;278.1;274.8;274.8;4388;1211768
